Date,GS3,GS1,GS10,GS5,GS3M,GS6M
01/07/2004,3.049999952,2.099999905,4.5,3.690000057,1.360000014,1.700000048
01/08/2004,2.880000114,2.019999981,4.28000021,3.470000029,1.5,1.75999999
01/09/2004,2.829999924,2.119999886,4.130000114,3.359999895,1.679999948,1.909999967
01/10/2004,2.849999905,2.230000019,4.099999905,3.349999905,1.789999962,2.049999952
01/11/2004,3.089999914,2.5,4.190000057,3.529999971,2.109999895,2.319999933
01/12/2004,3.210000038,2.670000076,4.230000019,3.599999905,2.220000029,2.5
01/01/2005,3.390000105,2.859999895,4.21999979,3.710000038,2.369999886,2.680000067
01/02/2005,3.539999962,3.029999971,4.170000076,3.769999981,2.579999924,2.849999905
01/03/2005,3.910000086,3.299999952,4.5,4.170000076,2.799999952,3.089999914
01/04/2005,3.789999962,3.319999933,4.340000153,4,2.839999914,3.140000105
01/05/2005,3.720000029,3.329999924,4.139999866,3.849999905,2.900000095,3.170000076
01/06/2005,3.690000057,3.359999895,4,3.769999981,3.039999962,3.220000029
01/07/2005,3.910000086,3.640000105,4.179999828,3.980000019,3.289999962,3.529999971
01/08/2005,4.079999924,3.869999886,4.260000229,4.119999886,3.519999981,3.779999971
01/09/2005,3.960000038,3.849999905,4.199999809,4.010000229,3.49000001,3.789999962
01/10/2005,4.289999962,4.179999828,4.460000038,4.329999924,3.789999962,4.130000114
01/11/2005,4.429999828,4.329999924,4.539999962,4.449999809,3.970000029,4.300000191
01/12/2005,4.389999866,4.349999905,4.46999979,4.389999866,3.970000029,4.329999924
01/01/2006,4.349999905,4.449999809,4.420000076,4.349999905,4.340000153,4.46999979
01/02/2006,4.639999866,4.679999828,4.570000172,4.570000172,4.539999962,4.690000057
01/03/2006,4.739999771,4.769999981,4.71999979,4.71999979,4.630000114,4.789999962
01/04/2006,4.889999866,4.900000095,4.989999771,4.900000095,4.71999979,4.900000095
01/05/2006,4.96999979,5,5.110000134,5,4.840000153,5.010000229
01/06/2006,5.090000153,5.159999847,5.110000134,5.070000172,4.920000076,5.170000076
01/07/2006,5.070000172,5.21999979,5.090000153,5.039999962,5.079999924,5.269999981
01/08/2006,4.849999905,5.079999924,4.880000114,4.820000172,5.090000153,5.170000076
01/09/2006,4.690000057,4.96999979,4.71999979,4.670000076,4.929999828,5.079999924
01/10/2006,4.71999979,5.010000229,4.730000019,4.690000057,5.050000191,5.119999886
01/11/2006,4.639999866,5.010000229,4.599999905,4.579999924,5.070000172,5.150000095
01/12/2006,4.579999924,4.940000057,4.559999943,4.53000021,4.96999979,5.070000172
01/01/2007,4.789999962,5.059999943,4.760000229,4.75,5.110000134,5.150000095
01/02/2007,4.75,5.050000191,4.71999979,4.710000038,5.159999847,5.159999847
01/03/2007,4.510000229,4.920000076,4.559999943,4.480000019,5.079999924,5.099999905
01/04/2007,4.599999905,4.929999828,4.690000057,4.590000153,5.010000229,5.070000172
01/05/2007,4.690000057,4.909999847,4.75,4.670000076,4.869999886,4.980000019
01/06/2007,5,4.960000038,5.099999905,5.03000021,4.739999771,4.949999809
01/07/2007,4.820000172,4.960000038,5,4.880000114,4.960000038,5.039999962
01/08/2007,4.340000153,4.46999979,4.670000076,4.429999828,4.320000172,4.550000191
01/09/2007,4.059999943,4.139999866,4.519999981,4.199999809,3.99000001,4.199999809
01/10/2007,4.010000229,4.099999905,4.53000021,4.199999809,4,4.159999847
01/11/2007,3.349999905,3.5,4.150000095,3.670000076,3.349999905,3.579999924
01/12/2007,3.130000114,3.25999999,4.099999905,3.49000001,3.069999933,3.339999914
01/01/2008,2.50999999,2.710000038,3.74000001,2.980000019,2.819999933,2.839999914
01/02/2008,2.190000057,2.049999952,3.74000001,2.779999971,2.170000076,2.099999905
01/03/2008,1.799999952,1.539999962,3.50999999,2.480000019,1.279999971,1.50999999
01/04/2008,2.230000019,1.74000001,3.680000067,2.839999914,1.309999943,1.580000043
01/05/2008,2.690000057,2.059999943,3.880000114,3.150000095,1.75999999,1.860000014
01/06/2008,3.079999924,2.420000076,4.099999905,3.49000001,1.889999986,2.190000057
01/07/2008,2.869999886,2.279999971,4.010000229,3.299999952,1.659999967,1.980000019
01/08/2008,2.700000048,2.180000067,3.890000105,3.140000105,1.75,1.970000029
01/09/2008,2.319999933,1.909999967,3.690000057,2.880000114,1.149999976,1.639999986
01/10/2008,1.860000014,1.419999957,3.809999943,2.730000019,0.689999998,1.230000019
01/11/2008,1.50999999,1.070000052,3.529999971,2.289999962,0.189999998,0.74000001
01/12/2008,1.070000052,0.49000001,2.420000076,1.519999981,0.029999999,0.25999999
01/01/2009,1.129999995,0.439999998,2.519999981,1.600000024,0.129999995,0.300000012
01/02/2009,1.370000005,0.620000005,2.869999886,1.870000005,0.300000012,0.460000008
